ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,04/09/1966,F1 World Championship,Ludovico Scarfiotti
Killarney F1,Van Riebeeck Trophy,ZAF,03/09/1966,South African Drivers Championship,Sam Tingle
Milwaukee Indycars,Tony Bettenhausen 200,USA,27/08/1966,USAC National Championship,Mario Andretti
Winston-Salem NASCAR,Myers Brothers Memorial,USA,27/08/1966,NASCAR Grand National,David Pearson
Beltsville NASCAR,Maryland 200,USA,24/08/1966,NASCAR Grand National,Bobby Allison
Pietermaritzburg F1,Pat Fairfield Trophy,ZAF,21/08/1966,South African Drivers Championship,John Love
Weaverville NASCAR,Western North Carolina 500,USA,21/08/1966,NASCAR Grand National,Darel Dieringer
Springfield Indycars,Tony Bettenhausen 100,USA,20/08/1966,USAC National Championship,Don Branson
Columbia NASCAR,,USA,18/08/1966,NASCAR Grand National,David Pearson
German Grand Prix,Grosser Preis von Deutschland,DEU,07/08/1966,F1 World Championship,Jack Brabham
Langhorne Indycars,Langhorne 150,USA,07/08/1966,USAC National Championship,Roger McCluskey
Atlanta NASCAR,Dixie 400,USA,07/08/1966,NASCAR Grand National,Richard Petty
Kyalami F1,Rand Winter Trophy,ZAF,06/08/1966,South African Drivers Championship,John Love
Nashville NASCAR,,USA,30/07/1966,NASCAR Grand National,Richard Petty
Maryville NASCAR,Smoky 200,USA,28/07/1966,NASCAR Grand National,Paul Lewis
Dutch Grand Prix,Grote Prijs van Nederland,NLD,24/07/1966,F1 World Championship,Jack Brabham
Indianapolis Raceway Park Indycars,Hoosier Grand Prix,USA,24/07/1966,USAC National Championship,Mario Andretti
Mozambique F1,Taca Gouvernador Generale de Mocambique,MOZ,24/07/1966,Non-championship,Dave Charlton
Bristol NASCAR,Volunteer 500,USA,24/07/1966,NASCAR Grand National,Paul Goldsmith
British Grand Prix,British Grand Prix,GBR,16/07/1966,F1 World Championship,Jack Brabham
Islip NASCAR,,USA,16/07/1966,NASCAR Grand National,Bobby Allison
Fonda NASCAR,,USA,14/07/1966,NASCAR Grand National,David Pearson
Oxford Plains NASCAR,,USA,12/07/1966,NASCAR Grand National,Bobby Allison
East London F1,Border 100,ZAF,11/07/1966,South African Drivers Championship,Sam Tingle
Bridgehampton NASCAR,,USA,10/07/1966,NASCAR Grand National,David Pearson
Manassas NASCAR,,USA,07/07/1966,NASCAR Grand National,Elmo Langley
Pikes Peak,Pikes Peak,USA,04/07/1966,USAC National Championship,Bobby Unser
Daytona NASCAR,Firecracker 400,USA,04/07/1966,NASCAR Grand National,Sam McQuagg
French Grand Prix,Grand Prix de l&#039;Automobile Club de France et d’Europe,FRA,03/07/1966,F1 World Championship,Jack Brabham
Atlanta Indycars,Atlanta 300,USA,26/06/1966,USAC National Championship,Mario Andretti
Pietermaritzburg F1,Natal Winter Trophy,ZAF,26/06/1966,South African Drivers Championship,John Love
Greenville NASCAR,,USA,25/06/1966,NASCAR Grand National,David Pearson
Le Mans 24 Hours,24 heures du Mans,FRA,18/06/1966,Chris Amon,Bruce McLaren
Beltsville NASCAR,Beltsville 200,USA,15/06/1966,NASCAR Grand National,Tiny Lund
Belgian Grand Prix,Grand Prix de Belgique,BEL,12/06/1966,F1 World Championship,John Surtees
Langhorne Indycars,Langhorne 100,USA,12/06/1966,USAC National Championship,Mario Andretti
Weaverville NASCAR,Fireball 300,USA,12/06/1966,NASCAR Grand National,Richard Petty
Maryville NASCAR,East Tennessee 200,USA,09/06/1966,NASCAR Grand National,David Pearson
Milwaukee Indycars,Rex Mays 100,USA,05/06/1966,USAC National Championship,Mario Andretti
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,05/06/1966,Jo Bonnier,Phil Hill
Kumalo F1,Bulawayo 100,RHO,05/06/1966,Non-championship,Dave Charlton
Spartanburg NASCAR,,USA,04/06/1966,NASCAR Grand National,Elmo Langley
Asheville NASCAR,Asheville 300,USA,02/06/1966,NASCAR Grand National,David Pearson
Indianapolis 500,Indianapolis 500,USA,30/05/1966,USAC National Championship,Graham Hill
Crystal Palace British F2,London Trophy,GBR,30/05/1966,Autocar British F2 Championship,Jack Brabham
Moyock NASCAR,,USA,29/05/1966,NASCAR Grand National,David Pearson
Kyalami F1,South African Republic Festival Trophy,ZAF,28/05/1966,South African Drivers Championship,John Love
Monaco Grand Prix,Grand Prix de Monaco,MCO,22/05/1966,F1 World Championship,Jackie Stewart
Spa 1000Kms,1000 km de Spa-Francorchamps,BEL,22/05/1966,Michael Parkes,Ludovico Scarfiotti
World 600,World 600,USA,22/05/1966,Marvin Panch,Richard Petty
Richmond NASCAR,Richmond 250,USA,15/05/1966,NASCAR Grand National,David Pearson
International Trophy,Daily Express International Trophy,GBR,14/05/1966,Non-championship,Jack Brabham
Monroe NASCAR,,USA,13/05/1966,NASCAR Grand National,Darel Dieringer
Macon NASCAR,Speedy Morelock 200,USA,10/05/1966,NASCAR Grand National,Richard Petty
Targa Florio,Targa Florio,ITA,08/05/1966,Willy Mairesse,Herbert Muller
Hampton NASCAR,Tidewater 250,USA,07/05/1966,NASCAR Grand National,Richard Petty
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,01/05/1966,Non-championship,John Surtees
Darlington NASCAR,Rebel 400,USA,30/04/1966,NASCAR Grand National,Richard Petty
Monza 1000Kms,1000 km di Monza/Trofeo Filippo Caracciolo,ITA,25/04/1966,Michael Parkes,John Surtees
Trenton Indycars,Trenton 150,USA,24/04/1966,USAC National Championship,Rodger Ward
Martinsville NASCAR,Virginia 500,USA,24/04/1966,NASCAR Grand National,Jim Paschal
North Wilkesboro NASCAR,Gwyn Staley Memorial,USA,17/04/1966,NASCAR Grand National,Jim Paschal
Pietermaritzburg F1,Coronation 100,ZAF,11/04/1966,South African Drivers Championship,John Love
Winston-Salem NASCAR,,USA,11/04/1966,NASCAR Grand National,David Pearson
Goodwood British F2,Sunday Mirror Trophy,GBR,11/04/1966,Autocar British F2 Championship,Jack Brabham
Greenville NASCAR,,USA,09/04/1966,NASCAR Grand National,David Pearson
Columbia NASCAR,,USA,07/04/1966,NASCAR Grand National,David Pearson
Hickory NASCAR,Hickory 250,USA,03/04/1966,NASCAR Grand National,David Pearson
Oulton Park British F2,BARC 200,GBR,02/04/1966,Autocar British F2 Championship,Ni zmagovalca
Atlanta NASCAR,Atlanta 500,USA,27/03/1966,NASCAR Grand National,Jim Hurtubise
Sebring 12 Hours,12 Hours of Sebring,USA,26/03/1966,Ken Miles,Lloyd Ruby
Phoenix Indycars,Jimmy Bryan 150,USA,20/03/1966,USAC National Championship,Jim McElreath
Bristol NASCAR,Southeastern 500,USA,20/03/1966,NASCAR Grand National,Dick Hutcherson
North Carolina NASCAR,Peach Blossom 500,USA,13/03/1966,NASCAR Grand National,Paul Goldsmith
Longford Tasman,South Pacific Trophy,AUS,07/03/1966,Tasman Cup,Jackie Stewart
Kyalami F1,Rand Autumn Trophy,ZAF,05/03/1966,South African Drivers Championship,John Love
Sandown Park Tasman,Sandown Park International 100,AUS,27/02/1966,Tasman Cup,Jackie Stewart
Daytona 500,Daytona 500,USA,27/02/1966,NASCAR Grand National,Richard Petty
Daytona NASCAR,,USA,25/02/1966,NASCAR Grand National,Paul Goldsmith
Daytona NASCAR,,USA,25/02/1966,NASCAR Grand National,Earl Balmer
Australian Grand Prix,Australian Grand Prix,AUS,20/02/1966,Tasman Cup,Graham Hill
Warwick Farm Tasman,Warwick Farm 100,AUS,13/02/1966,Tasman Cup,Jim Clark
Mar del Plata Temporada,Gran Premio YPF,ARG,13/02/1966,Temporada F3 Championship,Eric Offenstadt
Mendoza Temporada,Gran Premio Yacimientos Petroliferos,ARG,06/02/1966,Temporada F3 Championship,Charles Crichton-Stuart
Daytona 24 Hours,Daytona 24-hour Continental,USA,05/02/1966,Ken Miles,Lloyd Ruby
Rosario Temporada,Gran Premio de la Ciudad de Rosario,ARG,30/01/1966,Temporada F3 Championship,Silvio Moser
Teretonga Tasman,Teretonga International,NZL,29/01/1966,Tasman Cup,Jackie Stewart
Riverside NASCAR,Motor Trend 500,USA,23/01/1966,NASCAR Grand National,Dan Gurney
Buenos Aires Temporada,Gran Premio de la Ciudad de Buenos Aires,ARG,23/01/1966,Temporada F3 Championship,Chris Irwin
Lady Wigram Trophy,Lady Wigram Trophy,NZL,22/01/1966,Tasman Cup,Jackie Stewart
Levin Tasman,Levin Gold Leaf International Trophy,NZL,15/01/1966,Tasman Cup,Richard Attwood
New Zealand Grand Prix,New Zealand Grand Prix,NZL,08/01/1966,Tasman Cup,Graham Hill
Killarney F1,Cape South Easter Trophy,ZAF,08/01/1966,South African Drivers Championship,John Love
South African Grand Prix,South African Grand Prix,ZAF,01/01/1966,South African Drivers Championship,Mike Spence
Rand Grand Prix,Rand Grand Prix,ZAF,04/12/1965,South African Drivers Championship,Jack Brabham
Macau Grand Prix,Grande Premio de Macau,MAC,28/11/1965,Non-championship,John MacDonald
Phoenix Indycars,Bobby Ball 200,USA,21/11/1965,USAC National Championship,AJ Foyt jr
Augusta NASCAR,Georgia Cracker 300,USA,14/11/1965,NASCAR Grand National,Richard Petty
Moyock NASCAR,Tidewater 300,USA,07/11/1965,NASCAR Grand National,Ned Jarrett
North Carolina NASCAR,American 500,USA,31/10/1965,NASCAR Grand National,Curtis Turner
Mexican Grand Prix,Gran Premio de Mexico,MEX,24/10/1965,F1 World Championship,Richie Ginther
Sacramento Indycars,Golden State 100,USA,24/10/1965,USAC National Championship,Don Branson
Hillsborough NASCAR,,USA,24/10/1965,NASCAR Grand National,Dick Hutcherson
Charlotte NASCAR,National 500,USA,17/10/1965,NASCAR Grand National,Fred Lorenzen
Kyalami F1,Rand Spring Trophy,ZAF,10/10/1965,South African Drivers Championship,John Love
United States Grand Prix,United States Grand Prix,USA,03/10/1965,F1 World Championship,Graham Hill
North Wilkesboro NASCAR,Wilkes 400,USA,03/10/1965,NASCAR Grand National,Junior Johnson
Trenton Indycars,Trenton 200,USA,26/09/1965,USAC National Championship,AJ Foyt jr
Martinsville NASCAR,Old Dominion 500,USA,26/09/1965,NASCAR Grand National,Junior Johnson
Indiana State Fair Indycars,Hoosier 100,USA,18/09/1965,USAC National Championship,AJ Foyt jr
Richmond NASCAR,Capital City 300,USA,18/09/1965,NASCAR Grand National,David Pearson
Oulton Park Gold Cup,International Gold Cup,GBR,18/09/1965,Autocar British F2 Championship,John Surtees
Manassas NASCAR,,USA,17/09/1965,NASCAR Grand National,Richard Petty
New Oxford NASCAR,Pennsylvania 200 Classic,USA,14/09/1965,NASCAR Grand National,Dick Hutcherson
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,12/09/1965,F1 World Championship,Jackie Stewart
Hickory NASCAR,Buddy Shuman Memorial,USA,10/09/1965,NASCAR Grand National,Richard Petty
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,06/09/1965,USAC National Championship,Don Branson
Darlington NASCAR,Southern 500,USA,06/09/1965,NASCAR Grand National,Ned Jarrett
Killarney F1,Van Riebeeck Trophy,ZAF,03/09/1965,South African Drivers Championship,John Love
Brands Hatch British F2,British Eagle Trophy,GBR,30/08/1965,Autocar British F2 Championship,Jim Clark
Winston-Salem NASCAR,Myers Brothers Memorial,USA,28/08/1965,NASCAR Grand National,Junior Johnson
Beltsville NASCAR,,USA,25/08/1965,NASCAR Grand National,Ned Jarrett
Moyock NASCAR,Moyock 300,USA,24/08/1965,NASCAR Grand National,Dick Hutcherson
Milwaukee Indycars,Tony Bettenhausen 200,USA,22/08/1965,USAC National Championship,Gordon Johncock
