prvenstvo,zmagovalec
Deutsche Tourenwagen Meisterschaft,Lucas Auer
Brendon Hartley,Earl Bamber
Verizon IndyCar Series,Alexander Rossi
Indy Lights Presented by Cooper Tires,Aaron Telitz
Monster Energy NASCAR Cup,Denny Hamlin
Formula V8 3.5 Championship,Pietro Fittipaldi
FIA Formula 2 Championship,Luca Ghiotto
GP3 Series,George Russell
F1 World Championship,Lewis Hamilton
GP3 Series,Ni zmagovalca
Formula V8 3.5 Championship,Pietro Fittipaldi
FIA Formula 2 Championship,Antonio Fuoco
World Motorcycle Championship,Andrea Dovizioso
Jan Magnussen,Antonio Garcia
FIA Formula 2 Championship,Sergio Sette Camara
GP3 Series,Giuliano Alesi
F1 World Championship,Lewis Hamilton
Verizon IndyCar Series,Josef Newgarden
Indy Lights Presented by Cooper Tires,Santiago Urrutia
FIA Formula 2 Championship,Artem Markelov
GP3 Series,George Russell
Verizon IndyCar Series,Will Power
European F3 Championship,Callum Ilott
European F3 Championship,Lando Norris
Japanese Super Formula Championship,Pierre Gasly
Deutsche Tourenwagen Meisterschaft,Mike Rockenfeller
Monster Energy NASCAR Cup,Kyle Busch
European F3 Championship,Lando Norris
Deutsche Tourenwagen Meisterschaft,Timo Glock
World Motorcycle Championship,Andrea Dovizioso
Monster Energy NASCAR Cup,Kyle Larson
World Motorcycle Championship,Marc Marquez
Johannes van Overbeek,Luis Felipe Derani
Monster Energy NASCAR Cup,Martin Truex jr
FIA Formula E Championship,Jean-Eric Vergne
F1 World Championship,Sebastian Vettel
Verizon IndyCar Series,Josef Newgarden
Indy Lights Presented by Cooper Tires,Nico Jamin
Monster Energy NASCAR Cup,Kyle Busch
FIA Formula 2 Championship,Nobuharu Matsushita
GP3 Series,Giuliano Alesi
FIA Formula E Championship,Lucas di Grassi
Indy Lights Presented by Cooper Tires,Santiago Urrutia
European F3 Championship,Lando Norris
FIA Formula 2 Championship,Oliver Rowland
GP3 Series,Jack Aitken
Christopher Haase,Jules Gounon
European F3 Championship,Lando Norris
European F3 Championship,Ferdinand Habsburg
Monster Energy NASCAR Cup,Kasey Kahne
Deutsche Tourenwagen Meisterschaft,Maro Engel
Dirk Werner,Patrick Pilet
Deutsche Tourenwagen Meisterschaft,Rene Rast
FIA Formula E Championship,Sam Bird
F1 World Championship,Lewis Hamilton
Earl Bamber,Timo Bernhard
World Touring Car Championship,Yann Ehrlacher
World Touring Car Championship,Norbert Michelisz
Verizon IndyCar Series,Josef Newgarden
Indy Lights Presented by Cooper Tires,Kyle Kaiser
Monster Energy NASCAR Cup,Denny Hamlin
Formula V8 3.5 Championship,Alex Palou
FIA Formula 2 Championship,Nicholas Latifi
GP3 Series,Giuliano Alesi
FIA Formula E Championship,Sam Bird
