prvenstvo,zmagovalec 
Rothmans F5000 Championship,Graham McRae
Winston Cup Grand National,Bobby Allison
Vic Elford,Gerard Larrousse
USAC National Championship,Al Unser
F1 World Championship,Jackie Stewart
Winston Cup Grand National,Bobby Isaac
Or Costanzo,David Heinz
SCCA L&amp;M Continental F5000 Championship,David Hobbs
Winston Cup Grand National,Richard Petty
Toine Hezemans,Nino Vaccarella
European F2 Trophy,Emerson Fittipaldi
South African Drivers Championship,Dave Charlton
Winston Cup Grand National,Donnie Allison
Rothmans F5000 Championship,Frank Gardner
Or Costanzo,David Heinz
Jackie Oliver,Pedro Rodriguez
Winston Cup Grand National,Benny Parsons
Non-championship,Graham Hill
Rothmans F5000 Championship,Mike Hailwood
Non-championship,Kuniomi Nagamatsu
European F2 Trophy,Francois Cevert
Rothmans F5000 Championship,Frank Gardner
Winston Cup Grand National,Buddy Baker
SCCA L&amp;M Continental F5000 Championship,David Hobbs
South African Drivers Championship,John Love
Jackie Oliver,Pedro Rodriguez
USAC National Championship,Mike Mosley
Winston Cup Grand National,Richard Petty
SCCA L&amp;M Continental F5000 Championship,Frank Matich
Non-championship,Reine Wisell
F1 World Championship,Jackie Stewart
Winston Cup Grand National,Richard Petty
Peter Gregg,Hurley Haywood
Winston Cup Grand National,Richard Petty
European F2 Trophy,Graham Hill
Rothmans F5000 Championship,Brian Redman
South African Drivers Championship,Dave Charlton
Non-championship,Graeme Lawrence
Winston Cup Grand National,Bobby Isaac
Non-championship,Pedro Rodriguez
Rothmans F5000 Championship,Frank Gardner
Winston Cup Grand National,Richard Petty
Andrea de Adamich,Henri Pescarolo
European F2 Trophy,Francois Cevert
Winston Cup Grand National,AJ Foyt jr
Non-championship,Mario Andretti
Rothmans F5000 Championship,Mike Hailwood
Winston Cup Grand National,David Pearson
USAC National Championship,Al Unser
Non-championship,Clay Regazzoni
Winston Cup Grand National,Richard Petty
Vic Elford,Gerard Larrousse
Winston Cup Grand National,Richard Petty
Non-championship,Henri Pescarolo
Winston Cup Grand National,Richard Petty
F1 World Championship,Mario Andretti
Tasman Championship,Frank Matich
USAC National Championship,Al Unser
USAC National Championship,Al Unser
Winston Cup Grand National,AJ Foyt jr
Tasman Championship,Graham McRae
Non-championship,Alan Rollinson
Tasman Championship,Frank Gardner
Winston Cup Grand National,Richard Petty
Non-championship,Jo Siffert
Winston Cup Grand National,Pete Hamilton
Winston Cup Grand National,David Pearson
Jackie Oliver,Pedro Rodriguez
South African Drivers Championship,Dave Charlton
Non-championship,Chris Amon
Tasman Championship,Niel Allen
Tasman Championship,Graham McRae
Derek Bell,Jo Siffert
Winston Cup Grand National,Ray Elder
Tasman Championship,Niel Allen
South African Drivers Championship,Jackie Pretorius
Tasman Championship,Graham McRae
Non-championship,Dieter Quester
NASCAR Grand National,Bobby Allison
Non-championship,Frank Matich
USAC National Championship,Swede Savage
NASCAR Grand National,Cale Yarborough
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
F1 World Championship,Jacky Ickx
Non-championship,Dieter Quester
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
Non-championship,Dave Charlton
SCCA Formula A Continental Championship,Mark Donohue
Brian Redman,Jo Siffert
European F2 Trophy,Dieter Quester
NASCAR Grand National,Lee Roy Yarbrough
F1 World Championship,Emerson Fittipaldi
USAC National Championship,Al Unser
NASCAR Grand National,Bobby Isaac
USAC National Championship,Al Unser
South African Drivers Championship,Dave Charlton
NASCAR Grand National,Richard Petty
Guards F5000 Championship,Graham McRae
European F2 Trophy,Clay Regazzoni
Can-Am Challenge,Denny Hulme
SCCA Formula A Continental Championship,George Follmer
F1 World Championship,Jacky Ickx
NASCAR Grand National,Richard Petty
Guards F5000 Championship,Reine Wisell
USAC National Championship,Al Unser
Guards F5000 Championship,Reine Wisell
European F2 Trophy,Jacky Ickx
South African Drivers Championship,Dave Charlton
NASCAR Grand National,Richard Petty
Can-Am Challenge,Tony Dean
SCCA Formula A Continental Championship,Mark Donohue
Non-championship,Alan Rollinson
USAC National Championship,Al Unser
NASCAR Grand National,Bobby Isaac
USAC National Championship,Al Unser
NASCAR Grand National,Buddy Baker
SCCA Formula A Continental Championship,David Hobbs
F1 World Championship,Clay Regazzoni
USAC National Championship,Jim McElreath
Non-championship,John MacDonald
Guards F5000 Championship,Reine Wisell
Can-Am Challenge,Peter Gethin
Non-championship,Jacky Ickx
Non-championship,Francois Cevert
South African Drivers Championship,Dave Charlton
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
European F2 Trophy,Clay Regazzoni
USAC National Championship,Al Unser
NASCAR Grand National,Pete Hamilton
Can-Am Challenge,Denny Hulme
Guards F5000 Championship,Howden Ganley
Non-championship,John Surtees
USAC National Championship,Al Unser
F1 World Championship,Jacky Ickx
NASCAR Grand National,Charlie Glotzbach
SCCA Formula A Continental Championship,David Hobbs
Guards F5000 Championship,Frank Gardner
NASCAR Grand National,Richard Petty
Guards F5000 Championship,Frank Gardner
Non-championship,Chris Craft
NASCAR Grand National,Bobby Isaac
F1 World Championship,Jochen Rindt
NASCAR Grand National,Richard Petty
Non-championship,Xavier Perrot
South African Drivers Championship,Dave Charlton
SCCA Formula A Continental Championship,George Follmer
USAC National Championship,Al Unser
Can-Am Challenge,Denny Hulme
Non-championship,Clay Regazzoni
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Richard Petty
Non-championship,Dave Charlton
Bobby Allison,Dave Marcis
F1 World Championship,Jochen Rindt
SCCA Formula A Continental Championship,John Cannon
Guards F5000 Championship,Mike Hailwood
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
Leo Kinnunen,Pedro Rodriguez
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Richard Petty
F1 World Championship,Jochen Rindt
South African Drivers Championship,Dave Charlton
SCCA Formula A Continental Championship,Gus Hutchison
USAC National Championship,Gary Bettenhausen
NASCAR Grand National,Donnie Allison
Guards F5000 Championship,Peter Gethin
European F2 Trophy,Jo Siffert
USAC National Championship,Mario Andretti
Can-Am Challenge,Dan Gurney
SCCA Formula A Continental Championship,Gus Hutchison
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Richard Petty
F1 World Championship,Jochen Rindt
Guards F5000 Championship,Mike Walker
South African Drivers Championship,John Love
Non-championship,Giovanni Salvati
NASCAR Grand National,Bobby Isaac
USAC National Championship,Bobby Unser
NASCAR Grand National,Richard Petty
Can-Am Challenge,Dan Gurney
SCCA Formula A Continental Championship,Ron Grable
Non-championship,Hubert Hahne
Richard Attwood,Hans Herrmann
F1 World Championship,Pedro Rodriguez
USAC National Championship,Joe Leonard
NASCAR Grand National,Cale Yarborough
SCCA Formula A Continental Championship,John Cannon
Guards F5000 Championship,Peter Gethin
South African Drivers Championship,Peter de Klerk
Guards F5000 Championship,Trevor Taylor
Kurt Ahrens jr,Vic Elford
NASCAR Grand National,Bobby Isaac
USAC National Championship,Al Unser
NASCAR Grand National,Bobby Isaac
Guards F5000 Championship,Peter Gethin
Non-championship,Jackie Stewart
Donnie Allison,Lee Roy Yarbrough
SCCA Formula A Continental Championship,Ron Grable
Non-championship,Jochen Rindt
NASCAR Grand National,Bobby Isaac
Brian Redman,Jo Siffert
NASCAR Grand National,Bobby Isaac
F1 World Championship,Jochen Rindt
Guards F5000 Championship,Peter Gethin
NASCAR Grand National,David Pearson
Brian Redman,Jo Siffert
Guards F5000 Championship,Peter Gethin
Non-championship,Jochen Rindt
NASCAR Grand National,Richard Petty
Guards F5000 Championship,Mike Hailwood
Non-championship,Chris Amon
European F2 Trophy,Derek Bell
USAC National Championship,Lloyd Ruby
Leo Kinnunen,Pedro Rodriguez
F1 World Championship,Jackie Stewart
Guards F5000 Championship,Peter Gethin
SCCA Formula A Continental Championship,John Cannon
NASCAR Grand National,Richard Petty
Leo Kinnunen,Pedro Rodriguez
European F2 Trophy,Clay Regazzoni
NASCAR Grand National,Pete Hamilton
Guards F5000 Championship,Peter Gethin
NASCAR Grand National,Donnie Allison
Non-championship,Jochen Rindt
USAC National Championship,Dan Gurney
Guards F5000 Championship,Peter Gethin
European F2 Trophy,Jochen Rindt
South African Drivers Championship,Dave Charlton
NASCAR Grand National,Bobby Allison
Non-championship,Graeme Lawrence
USAC National Championship,Al Unser
Guards F5000 Championship,Mike Walker
Non-championship,Jackie Stewart
Ignazio Giunti,Nino Vaccarella
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
F1 World Championship,Jack Brabham
NASCAR Grand National,James Hylton
Tasman Championship,Niel Allen
NASCAR Grand National,Pete Hamilton
NASCAR Grand National,Cale Yarborough
NASCAR Grand National,Charlie Glotzbach
Tasman Championship,Kevin Bartlett
Tasman Championship,Graham McRae
Brian Redman,Pedro Rodriguez
South African Drivers Championship,Dave Charlton
Tasman Championship,Graham McRae
NASCAR Grand National,AJ Foyt jr
Tasman Championship,Frank Matich
Henri Pescarolo,Jean-Pierre Beltoise
Tasman Championship,Frank Matich
South African Drivers Championship,John Love
Tasman Championship,Graeme Lawrence
SCCA Formula A Continental Championship,David Hobbs
USAC National Championship,Mario Andretti
NASCAR Grand National,Bobby Isaac
Non-championship,Kevin Bartlett
USAC National Championship,Al Unser
NASCAR Grand National,Bobby Allison
Can-Am Challenge,Bruce McLaren
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Lee Roy Yarbrough
Non-championship,Peter Westbury
Non-championship,Tony Maw
Can-Am Challenge,Denny Hulme
F1 World Championship,Denny Hulme
USAC National Championship,Mario Andretti
USAC National Championship,Al Unser
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Bobby Isaac
European F2 Trophy,Johnny Servoz-Gavin
NASCAR Grand National,Donnie Allison
Can-Am Challenge,Bruce McLaren
F1 World Championship,Jochen Rindt
NASCAR Grand National,David Pearson
South African Drivers Championship,John Love
Guards F5000 Championship,Mike Hailwood
USAC National Championship,Al Unser
NASCAR Grand National,Richard Petty
USAC National Championship,Mario Andretti
Can-Am Challenge,Bruce McLaren
SCCA Formula A Continental Championship,David Hobbs
F1 World Championship,Jacky Ickx
Guards F5000 Championship,Mike Walker
NASCAR Grand National,Bobby Isaac
Guards F5000 Championship,Trevor Taylor
USAC National Championship,Gordon Johncock
USAC National Championship,Dan Gurney
South African Drivers Championship,Dave Charlton
NASCAR Grand National,Richard Brickhouse
Can-Am Challenge,Denny Hulme
Non-championship,Graham Hill
F1 World Championship,Jackie Stewart
NASCAR Grand National,Bobby Allison
SCCA Formula A Continental Championship,David Hobbs
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Bobby Isaac
Guards F5000 Championship,Trevor Taylor
USAC National Championship,Al Unser
NASCAR Grand National,Lee Roy Yarbrough
SCCA Formula A Continental Championship,Sam Posey
Can-Am Challenge,Bruce McLaren
European F2 Trophy,Piers Courage
USAC National Championship,Art Pollard
NASCAR Grand National,Bobby Isaac
South African Drivers Championship,John Love
SCCA Formula A Continental Championship,John Cannon
NASCAR Grand National,Richard Petty
NASCAR Grand National,Bobby Isaac
USAC National Championship,Mario Andretti
USAC National Championship,Al Unser
NASCAR Grand National,David Pearson
Can-Am Challenge,Denny Hulme
Non-championship,Brian Redman
Non-championship,Jacky Ickx
Kurt Ahrens jr,Jo Siffert
Guards F5000 Championship,Trevor Taylor
NASCAR Grand National,Lee Roy Yarbrough
SCCA Formula A Continental Championship,David Hobbs
South African Drivers Championship,John McNicol
F1 World Championship,Jacky Ickx
Guards F5000 Championship,Trevor Taylor
Non-championship,Henri Pescarolo
SCCA Formula A Continental Championship,Peter Gethin
USAC National Championship,Dan Gurney
USAC National Championship,Peter Revson
Non-championship,John Love
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
NASCAR Grand National,Richard Petty
David Pearson,Richard Petty
SCCA Formula A Continental Championship,Tony Adamowicz
F1 World Championship,Jackie Stewart
USAC National Championship,Mario Andretti
NASCAR Grand National,Richard Petty
South African Drivers Championship,John Love
Guards F5000 Championship,David Hobbs
European F2 Trophy,Jochen Rindt
NASCAR Grand National,David Pearson
Can-Am Challenge,Bruce McLaren
Brian Redman,Jo Siffert
USAC National Championship,Mario Andretti
NASCAR Grand National,David Pearson
F1 World Championship,Jackie Stewart
USAC National Championship,Gordon Johncock
NASCAR Grand National,Richard Petty
SCCA Formula A Continental Championship,Tony Adamowicz
NASCAR Grand National,Lee Roy Yarbrough
USAC National Championship,Mario Andretti
South African Drivers Championship,John McNicol
Non-championship,Francois Cevert
NASCAR Grand National,David Pearson
SCCA Formula A Continental Championship,John Cannon
Non-championship,Robin Widdows
F1 World Championship,Jackie Stewart
NASCAR Grand National,Bobby Isaac
NASCAR Grand National,Richard Petty
Guards F5000 Championship,Mike Walker
USAC National Championship,Bobby Unser
NASCAR Grand National,Cale Yarborough
Can-Am Challenge,Denny Hulme
Non-championship,Brian Hart
Jacky Ickx,Jackie Oliver
Art Pollard,Greg Weld
SCCA Formula A Continental Championship,Dick Simon
Non-championship,Jochen Rindt
NASCAR Grand National,Bobby Isaac
Brian Redman,Jo Siffert
NASCAR Grand National,Bobby Isaac
Can-Am Challenge,Bruce McLaren
South African Drivers Championship,Jackie Pretorius
USAC National Championship,Mario Andretti
Guards F5000 Championship,Peter Gethin
NASCAR Grand National,Lee Roy Yarbrough
F1 World Championship,Graham Hill
NASCAR Grand National,David Pearson
NASCAR Grand National,Bobby Isaac
Brian Redman,Jo Siffert
Guards F5000 Championship,Peter Gethin
European F2 Trophy,Jackie Stewart
Non-championship,John Love
NASCAR Grand National,Lee Roy Yarbrough
F1 World Championship,Jackie Stewart
Gerhard Mitter,Udo Schutz
NASCAR Grand National,Bobby Isaac
SCCA Formula A Continental Championship,Sam Posey
European F2 Trophy,Jackie Stewart
James Hylton,Richard Petty
South African Drivers Championship,John Love
Brian Redman,Jo Siffert
NASCAR Grand National,Bobby Allison
SCCA Formula A Continental Championship,John Cannon
Non-championship,Jochen Rindt
Brian Redman,Jo Siffert
Non-championship,Keith Holland
European F2 Trophy,Jean-Pierre Beltoise
USAC National Championship,Mario Andretti
NASCAR Grand National,David Pearson
NASCAR Grand National,Bobby Isaac
Guards F5000 Championship,Peter Gethin
European F2 Trophy,Jochen Rindt
South African Drivers Championship,Basil van Rooyen
NASCAR Grand National,Bobby Isaac
Non-championship,Graeme Lawrence
Guards F5000 Championship,Peter Gethin
NASCAR Grand National,Bobby Isaac
Non-championship,Jack Brabham
USAC National Championship,George Follmer
NASCAR Grand National,Cale Yarborough
NASCAR Grand National,Bobby Allison
Jacky Ickx,Jackie Oliver
Non-championship,Jackie Stewart
NASCAR Grand National,David Pearson
NASCAR Grand National,David Pearson
F1 World Championship,Jackie Stewart
NASCAR Grand National,Lee Roy Yarbrough
NASCAR Grand National,David Pearson
NASCAR Grand National,Bobby Isaac
Rothmans Tasman Championship,Chris Amon
Rothmans Tasman Championship,Jochen Rindt
Rothmans Tasman Championship,Chris Amon
Mark Donohue,Chuck Parsons
NASCAR Grand National,Richard Petty
Rothmans Tasman Championship,Piers Courage
Rothmans Tasman Championship,Jochen Rindt
Rothmans Tasman Championship,Chris Amon
South African Drivers Championship,Basil van Rooyen
Rothmans Tasman Championship,Chris Amon
Temporada F2 Championship,Piers Courage
Temporada F2 Championship,Andrea de Adamich
NASCAR Grand National,Bobby Allison
Temporada F2 Championship,Andrea de Adamich
USAC National Championship,Dan Gurney
Non-championship,John Love
Temporada F2 Championship,Tino Brambilla
USAC National Championship,Gary Bettenhausen
Non-championship,Jan Bussell
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
F1 World Championship,Graham Hill
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Cale Yarborough
European F2 Trophy,Tino Brambilla
NASCAR Grand National,Richard Petty
Can-Am Challenge,Bruce McLaren
NASCAR Grand National,Charlie Glotzbach
Non-championship,Henri Pescarolo
European F2 Trophy,Tino Brambilla
USAC National Championship,Ronnie Bucknum
Can-Am Challenge,John Cannon
SCCA Formula A Grand Prix Championship,Lou Sell
F1 World Championship,Jackie Stewart
South African Drivers Championship,Dave Charlton
NASCAR Grand National,David Pearson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
Lucien Bianchi,Pedro Rodriguez
F1 World Championship,Denny Hulme
USAC National Championship,Mario Andretti
NASCAR Grand National,Richard Petty
SCCA Formula A Grand Prix Championship,George Wintersteen
NASCAR Grand National,Richard Petty
Can-Am Challenge,Mark Donohue
Non-championship,Jackie Stewart
NASCAR Grand National,Bobby Isaac
F1 World Championship,Denny Hulme
NASCAR Grand National,Richard Petty
Non-championship,Hengkie Iriawan
USAC National Championship,AJ Foyt jr
NASCAR Grand National,David Pearson
USAC National Championship,Mario Andretti
NASCAR Grand National,Cale Yarborough
SCCA Formula A Grand Prix Championship,George Wintersteen
Can-Am Challenge,Denny Hulme
South African Drivers Championship,Jackie Pretorius
International Championship of Makes,Jo Siffert
European F2 Trophy,Jochen Rindt
SCCA Formula A Grand Prix Championship,Lou Sell
NASCAR Grand National,David Pearson
NASCAR Grand National,Richard Petty
USAC National Championship,Lloyd Ruby
NASCAR Grand National,David Pearson
SCCA Formula A Grand Prix Championship,Lou Sell
Non-championship,Jackie Stewart
USAC National Championship,Roger McCluskey
Non-championship,David Piper
NASCAR Grand National,David Pearson
NASCAR Grand National,David Pearson
USAC National Championship,Mario Andretti
USAC National Championship,Mario Andretti
NASCAR Grand National,Lee Roy Yarbrough
F1 World Championship,Jackie Stewart
South African Drivers Championship,John Love
European F2 Trophy,Jean-Pierre Beltoise
USAC National Championship,Al Unser
USAC National Championship,Al Unser
NASCAR Grand National,David Pearson
SCCA Formula A Grand Prix Championship,Jerry Hansen
NASCAR Grand National,Richard Petty
USAC National Championship,Al Unser
USAC National Championship,Al Unser
Non-championship,Jackie Pretorius
NASCAR Grand National,David Pearson
F1 World Championship,Jo Siffert
Lucien Bianchi,Jacky Ickx
European F2 Trophy,Jochen Rindt
NASCAR Grand National,Lee Roy Yarbrough
USAC National Championship,Al Unser
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
South African Drivers Championship,John Love
F1 World Championship,Jacky Ickx
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Bobby Allison
NASCAR Grand National,Cale Yarborough
USAC National Championship,Bobby Unser
F1 World Championship,Jackie Stewart
USAC National Championship,Gordon Johncock
South African Drivers Championship,Basil van Rooyen
Non-championship,Jonathan Williams
NASCAR Grand National,Richard Petty
NASCAR Grand National,Donnie Allison
SCCA Formula A Grand Prix Championship,Lou Sell
Non-championship,Jochen Rindt
USAC National Championship,Dan Gurney
USAC National Championship,Dan Gurney
F1 World Championship,Bruce McLaren
USAC National Championship,Lloyd Ruby
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
European F2 Trophy,Jochen Rindt
NASCAR Grand National,David Pearson
South African Drivers Championship,John Love
NASCAR Grand National,Richard Petty
USAC National Championship,Bobby Unser
F1 World Championship,Graham Hill
Jacky Ickx,Brian Redman
NASCAR Grand National,Buddy Baker
SCCA Formula A Grand Prix Championship,Lou Sell
Vic Elford,Jo Siffert
NASCAR Grand National,David Pearson
NASCAR Grand National,David Pearson
F1 World Championship,Graham Hill
NASCAR Grand National,David Pearson
Vic Elford,Umberto Maglioli
South African Drivers Championship,Basil van Rooyen
NASCAR Grand National,David Pearson
Non-championship,Jochen Rindt
NASCAR Grand National,Bobby Isaac
European F2 Trophy,Jean-Pierre Beltoise
NASCAR Grand National,Cale Yarborough
Paul Hawkins,David Hobbs
Non-championship,Denny Hulme
USAC National Championship,Bobby Unser
NASCAR Grand National,David Pearson
Non-championship,Jackie Stewart
Non-championship,Chris Irwin
NASCAR Grand National,Bobby Isaac
European F2 Trophy,Jochen Rindt
South African Drivers Championship,John Love
Non-championship,Garrie Cooper
NASCAR Grand National,Richard Petty
Jacky Ickx,Brian Redman
European F2 Trophy,Jean-Pierre Beltoise
USAC National Championship,Bobby Unser
NASCAR Grand National,Richard Petty
USAC National Championship,Bobby Unser
NASCAR Grand National,Cale Yarborough
Non-championship,Jackie Stewart
South African Drivers Championship,John Love
NASCAR Grand National,David Pearson
Hans Herrmann,Jo Siffert
Non-championship,Bruce McLaren
USAC National Championship,Gordon Johncock
NASCAR Grand National,David Pearson
Tasman Cup,Piers Courage
NASCAR Grand National,Cale Yarborough
Tasman Cup,Jim Clark
Tasman Cup,Jim Clark
Tasman Cup,Jim Clark
Jo Siffert,Rolf Stommelen
Tasman Cup,Bruce McLaren
NASCAR Grand National,Dan Gurney
Tasman Cup,Jim Clark
Tasman Cup,Chris Amon
Tasman Cup,Chris Amon
South African Drivers Championship,Jean-Pierre Beltoise
F1 World Championship,Jim Clark
South African Drivers Championship,John Love
USAC National Championship,Dan Gurney
NASCAR Grand National,Richard Petty
USAC National Championship,Mario Andretti
Non-championship,Tony Maw
Non-championship,Jim Clark
NASCAR Grand National,Bobby Allison
Can-Am Challenge,John Surtees
NASCAR Grand National,Bobby Allison
NASCAR Grand National,Bobby Allison
Can-Am Challenge,Bruce McLaren
F1 World Championship,Jim Clark
USAC National Championship,Gordon Johncock
South African Drivers Championship,John Love
NASCAR Grand National,Buddy Baker
Can-Am Challenge,Bruce McLaren
European F2 Trophy,Jacky Ickx
South African Drivers Championship,Dave Charlton
F1 World Championship,Jim Clark
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
SCCA Formula A Grand Prix Championship,Gus Hutchison
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
SCCA Formula A Grand Prix Championship,Fred Ashplant
Non-championship,Jack Brabham
NASCAR Grand National,Richard Petty
F1 World Championship,John Surtees
NASCAR Grand National,Richard Petty
USAC National Championship,Mario Andretti
South African Drivers Championship,John Love
NASCAR Grand National,Richard Petty
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
Can-Am Challenge,Denny Hulme
European F2 Trophy,Jochen Rindt
RAC British F2 Championship,Jochen Rindt
F1 World Championship,Jack Brabham
NASCAR Grand National,Richard Petty
European F2 Trophy,Jackie Stewart
USAC National Championship,Mario Andretti
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
Non-championship,Jackie Stewart
NASCAR Grand National,Richard Petty
F1 World Championship,Denny Hulme
USAC National Championship,Mario Andretti
USAC National Championship,Mario Andretti
NASCAR Grand National,Dick Hutcherson
Phil Hill,Mike Spence
European F2 Trophy,Jacky Ickx
USAC National Championship,Mario Andretti
NASCAR Grand National,Richard Petty
NASCAR Grand National,Dick Hutcherson
European F2 Trophy,Jim Clark
USAC National Championship,Mario Andretti
Non-championship,John Love
NASCAR Grand National,Richard Petty
European F2 Trophy,Jochen Rindt
F1 World Championship,Jim Clark
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
NASCAR Grand National,Bobby Allison
European F2 Trophy,Frank Gardner
South African Drivers Championship,John Love
NASCAR Grand National,Richard Petty
NASCAR Grand National,Cale Yarborough
F1 World Championship,Jack Brabham
USAC National Championship,Bobby Unser
USAC National Championship,Bobby Unser
NASCAR Grand National,Jim Paschal
USAC National Championship,Wes Vandervoort
SCCA Formula A Grand Prix Championship,Gus Hutchison
NASCAR Grand National,Richard Petty
F1 World Championship,Dan Gurney
USAC National Championship,Lloyd Ruby
NASCAR Grand National,Richard Petty
AJ Foyt jr,Dan Gurney
NASCAR Grand National,Bobby Allison
NASCAR Grand National,Richard Petty
NASCAR Grand National,Richard Petty
F1 World Championship,Jim Clark
USAC National Championship,Gordon Johncock
NASCAR Grand National,Jim Paschal
USAC National Championship,AJ Foyt jr
RAC British F2 Championship,Jacky Ickx
Joe Buzzetta,Udo Schutz
NASCAR Grand National,Jim Paschal
Ludovico Scarfiotti,Michael Parkes
NASCAR Grand National,Richard Petty
SCCA Formula A Grand Prix Championship,Gus Hutchison
NASCAR Grand National,Jim Paschal
Paul Hawkins,Rolf Stommelen
SCCA Formula A Grand Prix Championship,Gus Hutchison
RAC British F2 Championship,John Surtees
NASCAR Grand National,Richard Petty
F1 World Championship,Denny Hulme
Non-championship,John Love
Jacky Ickx,Dick Thompson
NASCAR Grand National,Richard Petty
Non-championship,Michael Parkes
NASCAR Grand National,Bobby Allison
Chris Amon,Lorenzo Bandini
European F2 Trophy,Jochen Rindt
USAC National Championship,Mario Andretti
NASCAR Grand National,Richard Petty
NASCAR Grand National,Darel Dieringer
Non-championship,Jack Brabham
USAC National Championship,Lloyd Ruby
NASCAR Grand National,Richard Petty
South African Drivers Championship,Sam Tingle
NASCAR Grand National,Richard Petty
NASCAR Grand National,Cale Yarborough
Mario Andretti,Bruce McLaren
European F2 Trophy,Jochen Rindt
South African Drivers Championship,John Love
NASCAR Grand National,Bobby Allison
RAC British F2 Championship,Jochen Rindt
Non-championship,Rodney Seow
NASCAR Grand National,David Pearson
European F2 Trophy,Jochen Rindt
RAC British F2 Championship,Jochen Rindt
NASCAR Grand National,David Pearson
Non-championship,Dan Gurney
Tasman Cup,Jack Brabham
NASCAR Grand National,Richard Petty
South African Drivers Championship,Dave Charlton
Tasman Cup,Jim Clark
NASCAR Grand National,Mario Andretti
NASCAR Grand National,Lee Roy Yarbrough
NASCAR Grand National,Fred Lorenzen
Tasman Cup,Jackie Stewart
Tasman Cup,Jim Clark
Temporada F3 Championship,Jean-Pierre Beltoise
Chris Amon,Lorenzo Bandini
Temporada F3 Championship,Jean-Pierre Beltoise
Temporada F3 Championship,Jean-Pierre Beltoise
Tasman Cup,Jim Clark
NASCAR Grand National,Parnelli Jones
Temporada F3 Championship,Jean-Pierre Beltoise
Tasman Cup,Jim Clark
Tasman Cup,Jim Clark
Tasman Cup,Jackie Stewart
South African Drivers Championship,John Love
F1 World Championship,Pedro Rodriguez
Non-championship,Bob Anderson
USAC National Championship,Mario Andretti
Non-championship,Mauro Bianchi
NASCAR Grand National,Richard Petty
Can-Am Challenge,John Surtees
NASCAR Grand National,Fred Lorenzen
Can-Am Challenge,John Surtees
Autocar British F2 Championship,Jochen Rindt
F1 World Championship,John Surtees
USAC National Championship,Dick Atkins
NASCAR Grand National,Lee Roy Yarbrough
Can-Am Challenge,Phil Hill
South African Drivers Championship,Dave Charlton
F1 World Championship,Jim Clark
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Mario Andretti
NASCAR Grand National,Fred Lorenzen
Can-Am Challenge,Mark Donohue
NASCAR Grand National,Dick Hutcherson
Can-Am Challenge,Dan Gurney
Non-championship,Jack Brabham
NASCAR Grand National,David Pearson
Can-Am Challenge,John Surtees
USAC National Championship,Mario Andretti
NASCAR Grand National,David Pearson
USAC National Championship,Bud Tingelstad
NASCAR Grand National,Darel Dieringer
F1 World Championship,Ludovico Scarfiotti
South African Drivers Championship,Sam Tingle
USAC National Championship,Mario Andretti
NASCAR Grand National,David Pearson
NASCAR Grand National,Bobby Allison
South African Drivers Championship,John Love
NASCAR Grand National,Darel Dieringer
USAC National Championship,Don Branson
NASCAR Grand National,David Pearson
F1 World Championship,Jack Brabham
USAC National Championship,Roger McCluskey
NASCAR Grand National,Richard Petty
South African Drivers Championship,John Love
NASCAR Grand National,Richard Petty
NASCAR Grand National,Paul Lewis
F1 World Championship,Jack Brabham
USAC National Championship,Mario Andretti
Non-championship,Dave Charlton
NASCAR Grand National,Paul Goldsmith
F1 World Championship,Jack Brabham
NASCAR Grand National,Bobby Allison
NASCAR Grand National,David Pearson
NASCAR Grand National,Bobby Allison
South African Drivers Championship,Sam Tingle
NASCAR Grand National,David Pearson
NASCAR Grand National,Elmo Langley
USAC National Championship,Bobby Unser
NASCAR Grand National,Sam McQuagg
F1 World Championship,Jack Brabham
USAC National Championship,Mario Andretti
